cluster_id	group
1	good
2	mua
3	mua
7	noise
10	noise
12	noise
13	noise
14	mua
15	mua
16	noise
17	noise
20	mua
21	noise
22	noise
23	mua
25	mua
26	good
29	noise
30	noise
31	mua
32	good
33	mua
35	noise
37	noise
38	good
39	noise
43	noise
45	mua
49	good
50	mua
52	noise
53	noise
54	noise
55	noise
57	noise
59	mua
60	mua
61	noise
63	noise
64	mua
65	mua
66	noise
67	noise
68	mua
70	mua
71	mua
72	good
74	noise
75	noise
76	noise
78	mua
80	noise
81	mua
83	noise
85	mua
86	mua
88	mua
89	mua
90	noise
91	mua
92	mua
93	noise
94	mua
95	noise
96	noise
97	mua
99	noise
102	mua
103	mua
104	good
106	noise
107	noise
108	noise
115	good
116	mua
117	mua
120	noise
122	mua
123	mua
124	noise
125	mua
127	mua
129	noise
130	mua
131	noise
134	mua
135	mua
136	noise
139	noise
141	noise
143	noise
145	noise
147	noise
149	noise
151	noise
153	noise
155	noise
157	noise
160	mua
161	good
162	noise
