id	Amplitude	ContamPct	KSLabel	channel	depth	firing_rate	group	n_spikes
1	488.60000000	100.00000000	mua	1	725.00000000	2.3 spk/s	good	7405
2	315.00000000	100.00000000	mua	1	725.00000000	2.5 spk/s	mua	8180
3	420.40000000	100.00000000	mua	1	725.00000000	1.8 spk/s	mua	5769
7	283.70000000	100.00000000	mua	3	325.00000000	1.3 spk/s	noise	4158
10	281.50000000	100.00000000	mua	3	325.00000000	0.6 spk/s	noise	1985
12	149.30000000	100.00000000	mua	17	450.00000000	1.7 spk/s	noise	5600
13	536.20000000	100.00000000	mua	3	325.00000000	0.5 spk/s	noise	1534
14	467.60000000	100.00000000	mua	21	400.00000000	1.2 spk/s	mua	3776
15	222.60000000	100.00000000	mua	21	400.00000000	3.1 spk/s	mua	9953
16	744.70000000	100.00000000	mua	5	475.00000000	0.9 spk/s	noise	3024
17	323.80000000	100.00000000	mua	5	475.00000000	3.5 spk/s	noise	11416
20	358.90000000	100.00000000	mua	5	475.00000000	2.9 spk/s	mua	9495
21	364.30000000	100.00000000	mua	11	525.00000000	0.1 spk/s	noise	262
22	231.50000000	100.00000000	mua	14	625.00000000	2.6 spk/s	noise	8320
23	276.60000000	100.00000000	mua	6	675.00000000	3.8 spk/s	mua	12418
25	355.10000000	100.00000000	mua	7	775.00000000	3.9 spk/s	mua	12749
26	639.20000000	100.00000000	mua	7	775.00000000	3.5 spk/s	good	11283
29	553.40000000	100.00000000	mua	8	225.00000000	1.7 spk/s	noise	5546
30	454.60000000	100.00000000	mua	8	225.00000000	0.0 spk/s	noise	26
31	384.00000000	100.00000000	mua	9	275.00000000	2.2 spk/s	mua	7301
32	491.40000000	9.60000000	good	10	575.00000000	6.5 spk/s	good	21300
33	456.40000000	100.00000000	mua	10	575.00000000	6.2 spk/s	mua	20211
35	1051.80000000	100.00000000	mua	14	625.00000000	3.0 spk/s	noise	9793
37	412.70000000	100.00000000	mua	10	575.00000000	0.1 spk/s	noise	471
38	651.40000000	9.50000000	good	11	525.00000000	15.4 spk/s	good	50213
39	513.10000000	100.00000000	mua	11	525.00000000	4.4 spk/s	noise	14451
43	2194.60000000	9.70000000	good	12	425.00000000	0.4 spk/s	noise	1454
45	682.30000000	100.00000000	mua	12	425.00000000	1.7 spk/s	mua	5554
49	470.60000000	100.00000000	mua	14	625.00000000	3.4 spk/s	good	11092
50	160.10000000	100.00000000	mua	14	625.00000000	2.9 spk/s	mua	9351
52	421.80000000	100.00000000	mua	14	625.00000000	8.7 spk/s	noise	28350
53	419.30000000	100.00000000	mua	14	625.00000000	0.3 spk/s	noise	1008
54	302.00000000	100.00000000	mua	14	625.00000000	0.1 spk/s	noise	402
55	234.60000000	100.00000000	mua	11	525.00000000	0.1 spk/s	noise	399
57	388.70000000	100.00000000	mua	16	0.00000000	0.7 spk/s	noise	2368
59	1303.60000000	100.00000000	mua	17	450.00000000	1.0 spk/s	mua	3174
60	306.80000000	100.00000000	mua	17	450.00000000	3.2 spk/s	mua	10447
61	520.90000000	100.00000000	mua	17	450.00000000	0.5 spk/s	noise	1736
63	251.60000000	100.00000000	mua	19	250.00000000	3.9 spk/s	noise	12842
64	1489.80000000	100.00000000	mua	19	250.00000000	0.6 spk/s	mua	1907
65	367.30000000	100.00000000	mua	19	250.00000000	2.8 spk/s	mua	9286
66	242.80000000	100.00000000	mua	19	250.00000000	3.7 spk/s	noise	12096
67	235.20000000	100.00000000	mua	19	250.00000000	1.0 spk/s	noise	3132
68	275.30000000	100.00000000	mua	20	600.00000000	3.6 spk/s	mua	11747
70	459.70000000	100.00000000	mua	21	400.00000000	2.7 spk/s	mua	8857
71	488.20000000	100.00000000	mua	22	550.00000000	3.4 spk/s	mua	11118
72	644.20000000	100.00000000	mua	22	550.00000000	6.1 spk/s	good	19924
74	341.90000000	100.00000000	mua	22	550.00000000	2.9 spk/s	noise	9586
75	387.90000000	100.00000000	mua	10	575.00000000	0.1 spk/s	noise	250
76	307.90000000	100.00000000	mua	22	550.00000000	0.3 spk/s	noise	831
78	598.90000000	100.00000000	mua	23	750.00000000	2.7 spk/s	mua	8676
80	255.70000000	100.00000000	mua	20	600.00000000	1.5 spk/s	noise	5001
81	360.70000000	100.00000000	mua	25	650.00000000	4.7 spk/s	mua	15260
83	291.90000000	100.00000000	mua	25	650.00000000	4.4 spk/s	noise	14312
85	468.50000000	100.00000000	mua	26	350.00000000	2.0 spk/s	mua	6518
86	866.20000000	100.00000000	mua	26	350.00000000	0.7 spk/s	mua	2268
88	342.60000000	100.00000000	mua	27	500.00000000	1.7 spk/s	mua	5511
89	587.30000000	100.00000000	mua	27	500.00000000	4.9 spk/s	mua	15971
90	258.40000000	100.00000000	mua	27	500.00000000	0.6 spk/s	noise	2046
91	246.80000000	100.00000000	mua	25	650.00000000	4.5 spk/s	mua	14646
92	456.30000000	100.00000000	mua	1	725.00000000	2.4 spk/s	mua	7784
93	386.70000000	100.00000000	mua	28	700.00000000	2.2 spk/s	noise	7032
94	291.80000000	100.00000000	mua	28	700.00000000	2.5 spk/s	mua	8234
95	458.30000000	100.00000000	mua	28	700.00000000	0.0 spk/s	noise	135
96	250.30000000	100.00000000	mua	20	600.00000000	0.2 spk/s	noise	788
97	471.40000000	100.00000000	mua	30	300.00000000	1.3 spk/s	mua	4161
99	143.90000000	100.00000000	mua	31	50.00000000	6.9 spk/s	noise	22389
102	730.00000000	100.00000000	mua	5	475.00000000	1.5 spk/s	mua	5026
103	484.20000000	100.00000000	mua	5	475.00000000	1.0 spk/s	mua	3204
104	1916.70000000	0.00000000	good	8	225.00000000	0.1 spk/s	good	425
106	529.30000000	100.00000000	mua	14	625.00000000	3.1 spk/s	noise	10267
107	1052.00000000	100.00000000	mua	14	625.00000000	0.4 spk/s	noise	1397
108	1038.00000000	100.00000000	mua	16	0.00000000	0.4 spk/s	noise	1220
115	679.10000000	100.00000000	mua	23	750.00000000	11.6 spk/s	good	37859
116	302.70000000	100.00000000	mua	1	725.00000000	12.0 spk/s	mua	38975
117	445.60000000	100.00000000	mua	25	650.00000000	7.8 spk/s	mua	25428
120	309.40000000	100.00000000	mua	20	600.00000000	13.5 spk/s	noise	44091
122	349.90000000	100.00000000	mua	14	625.00000000	11.0 spk/s	mua	35787
123	384.50000000	100.00000000	mua	14	625.00000000	4.1 spk/s	mua	13367
124	510.40000000	100.00000000	mua	11	525.00000000	6.4 spk/s	noise	20726
125	300.30000000	100.00000000	mua	5	475.00000000	4.3 spk/s	mua	14071
